gFx,gFy,gFz
0.07995555555555556,0.9801444444444445,0.0231
0.09482222222222221,0.9871000000000001,0.018977777777777777
0.0926125,0.9955625,0.0072625
0.09178888888888889,0.9789222222222222,0.005566666666666668
0.104575,0.9784,0.0162625
0.09568571428571428,0.9883857142857143,0.006
0.0943,0.9875888888888888,0.003822222222222222
0.09267142857142859,0.9854857142857144,0.008814285714285714
0.08553333333333334,0.9886333333333334,0.0037222222222222223
0.09683749999999999,0.9884625,0.0081125
0.09944285714285714,0.9881142857142857,0.011300000000000001
0.08206666666666668,0.9801333333333334,0.011255555555555555
0.07715,0.981075,0.01815
0.0875625,0.9861,0.01925
0.0925375,0.98225,0.017
0.09065714285714287,0.9820857142857143,0.009657142857142855
0.08922222222222223,0.9858222222222223,0.005188888888888889
0.0943125,0.985325,0.0071625000000000005
0.09284285714285714,0.9888285714285715,0.0026857142857142856
0.08722222222222221,1.0110555555555554,-0.013166666666666667
0.0599,0.9706285714285714,0.004900000000000001
0.06961111111111112,0.9728666666666668,0.012822222222222223
0.0934125,1.003625,0.002925
0.1053,0.9860125,0.0040999999999999995
0.09812222222222222,0.9820222222222222,0.011255555555555555
0.08125,0.9745499999999999,0.019233333333333335
0.09537999999999999,0.9897600000000001,0.00177
0.1126125,0.9803875,0.008749999999999999
0.1321625,0.967625,-0.0018
0.1397125,0.9739125,-0.022912500000000002
0.126725,0.9849,-0.0456
0.0777625,0.9916625,-0.0345375
0.0679125,0.9881125,-0.0104
0.0748875,0.992775,-0.0052250000000000005
0.07785,1.0005125,-0.0109
0.09032857142857142,0.9951142857142857,-0.009485714285714287
0.09355,0.985,-0.0077399999999999995
0.07347142857142856,0.9766142857142857,-0.009257142857142856
0.0662375,0.9844375,0.002275
0.110075,0.999325,-0.00875
0.1304142857142857,0.9988857142857144,-0.01717142857142857
0.10796000000000001,0.97668,-0.0030499999999999998
0.071975,0.972575,-0.0005875
0.0803,0.9944500000000001,-0.0041875
0.1027625,0.997825,-0.0033875
0.09265000000000001,0.97585,0.006033333333333334
0.055069999999999994,0.96137,0.004880000000000001
0.048975,0.9898,-0.00415
0.0757125,1.00565,-0.0137375
0.0814,0.99085,-0.0121875
0.066225,0.9680875,0.0094125
0.05365,0.9740375,0.019375
0.0772125,0.9943625,0.003525
0.0994625,0.9911875,-0.0028
0.088925,0.98015,-0.0002875
0.0927,0.9835555555555556,-0.002144444444444444
0.0993875,0.989,-0.0146375
0.0869125,0.9918750000000001,-0.0133625
0.095825,0.991375,-0.006
0.1029875,0.9934625,0.000725
0.09684999999999999,0.9899,-0.0022333333333333333
0.08484,0.97394,0.00522
0.0962,0.9753625,0.0048125
0.087425,0.9934625,-0.011575
0.0595375,0.9932375,-0.020925
0.07692857142857143,0.9815428571428572,0.000657142857142857
0.09292222222222223,0.9820888888888888,0.002033333333333333
0.0967,0.98595,-0.0105125
0.0926375,0.9862375,-0.016362500000000002
0.08985,0.9868375,-0.0088
0.08018571428571429,0.9888285714285715,-0.005714285714285714
0.07992,0.98844,-0.00427
0.0812625,0.9842,0.00042500000000000003
0.0788125,0.9817375,0.005075
0.0853875,0.9849625,0.00995
0.08182500000000001,0.9883,-0.00665
0.0747375,0.9845125,-0.0091625
0.072925,0.9811624999999999,0.005175
0.080075,0.98375,0.009625
0.084025,0.98605,0.0077875
0.0867625,0.9889875,0.0032500000000000003
0.0870125,0.987175,0.0038875000000000003
0.0868125,0.98385,0.0050875
0.0836375,0.9828125,0.0059875
0.0810375,0.988875,0.0092375
0.07395,0.9891125,0.0117875
0.072625,0.984325,0.0191875
0.07492499999999999,0.9872,0.0095
0.08403333333333333,0.9894111111111111,0.005955555555555556
0.0806125,0.9885125,0.0070125
0.07843750000000001,0.9874875,0.0027
0.0845125,0.985575,0.0058125
0.08096249999999999,0.98475,-0.000375
0.07856250000000001,0.986,0.0057125
0.086675,0.9867625,0.012937500000000001
0.0812625,0.9845625,0.00665
0.0787125,0.9778625,0.009675
0.09185,0.9782500000000001,0.0108375
0.0998,0.9889375,-0.0015125000000000002
0.0694125,0.9976,-0.019225
0.0651375,0.98675,-0.0010624999999999999
0.0726,0.9806625,0.029437500000000002
0.06584999999999999,0.9827375,0.023975
0.0718125,0.9892625,0.0026625
0.0806375,0.9906625,0.0027875
0.078925,0.98505,0.0068125
0.07461111111111111,0.9848111111111112,0.0067555555555555554
0.073575,0.99155,0.0010875
0.0736375,0.9907,0.00915
0.0722375,0.9840875,0.009825
0.08635,0.9830125,0.01465
0.08425,0.9876875,-0.00021250000000000002
0.079075,0.9927125,-0.0067875
0.080925,0.988325,0.0161875
0.0740375,0.981525,0.025875
0.073875,0.9771625,0.0252875
0.07785,0.983525,0.018975
0.0772625,0.9897125,0.010624999999999999
0.0775625,0.9888875,0.0119125
0.080375,0.98775,0.008125
0.080175,0.9864,0.011075
0.076525,0.9854875,0.01465
0.07914444444444445,0.9824222222222221,0.018877777777777778
0.0851875,0.984525,0.0202125
0.0815375,0.9882375,0.0085375
0.0720125,0.988325,0.011125
0.0762,0.9862125,0.0110125
0.0795,0.9864375,0.015237500000000001
0.076475,0.987575,0.022662500000000002
0.0786875,0.9860875,0.0159625
0.079475,0.98595,0.0105125
0.0795,0.9840875,0.016925
0.0787375,0.9853875,0.0244125
0.0823125,0.9863625,0.0137875
0.0813,0.98795,0.0014875
0.077675,0.9849875,0.00915
0.0816375,0.9795375,0.018125
0.08815,0.98685,0.011962500000000001
0.06798749999999999,0.9932875,-0.0023875
0.07096666666666668,0.9856555555555556,0.011622222222222221
0.083375,0.975625,0.0330375
0.07905000000000001,0.9800625000000001,0.0276375
0.07495,0.9881875,0.0159875
0.0772875,0.987225,0.014700000000000001
0.083225,0.9802,0.0174625
0.08310000000000001,0.9809625,0.0191
0.07615,0.98885,0.0145625
0.0726625,0.9916125,0.009774999999999999
0.0792125,0.9896875,0.0079125
0.089125,0.9875375,0.00555
0.07680000000000001,0.9875625,-0.007925
0.064275,0.9871875,-0.0136125
0.0755125,0.9895375,-0.0051875
0.0856375,0.99125,-0.004075
0.0828,0.992075,-0.010512500000000001
0.08645,0.991975,-0.0072875
0.08945714285714286,0.9883857142857143,-0.007814285714285715
0.08335000000000001,0.9863,-0.00569
0.08082500000000001,0.9857625,-0.004875
0.0836875,0.9840875,-0.0060125000000000005
0.0846375,0.9836125,-0.00033749999999999996
0.0858875,0.9837125,0.00175
0.08885,0.984475,-0.007525
0.09357499999999999,0.9877750000000001,-0.0149
0.089975,0.987075,-0.016475
0.0912,0.9858,-0.01425
0.0867375,0.986425,-0.008262499999999999
0.08636250000000001,0.985275,-0.004625
0.089925,0.9818374999999999,0.0026125000000000002
0.0827875,0.985675,0.0036375
0.0807,0.9834375,-0.004625
0.0869125,0.9828625,-0.0069875
0.0836625,0.9871375,-0.0024625
0.0876125,0.9868125,-0.00325
0.09425555555555556,0.9830222222222224,-0.0060999999999999995
0.0862875,0.9847375,-0.0074
0.0873,0.9787166666666667,0.0056166666666666665
0.08696000000000001,0.98103,-0.007050000000000001
0.07944999999999999,0.9933625,-0.0219625
0.06595,0.9866,-0.01725
0.070925,0.978,0.0076625
0.07346666666666667,0.9808499999999999,0.006683333333333333
0.07121999999999999,0.98856,-0.011899999999999999
0.08687500000000001,0.991475,-0.030287500000000002
0.0902875,0.99225,-0.02305
0.0845625,0.9911375,-0.0242875
0.08637500000000001,0.9869625,-0.0318875
0.0881625,0.9870875,-0.0328
0.08332500000000001,0.9856374999999999,-0.023962499999999998
0.08577777777777779,0.9850555555555557,-0.02918888888888889
0.09782857142857142,0.9809142857142856,-0.02917142857142857
0.09745,0.9860125,-0.040025
0.09662222222222222,0.9859111111111112,-0.044722222222222226
0.1017625,0.983575,-0.037925
0.0967,0.9878750000000001,-0.0318
0.08745,0.9893375,-0.040925
0.080375,0.9824375,-0.0472
0.0806375,0.9749875,-0.040037500000000004
0.0810875,0.9803625,-0.0300875
0.0856875,0.9854125,-0.02375
0.089775,0.977475,-0.020837500000000002
0.0914875,0.977225,-0.025050000000000003
0.10035,0.982525,-0.0425625
0.1154875,0.9837625,-0.059887499999999996
0.1196125,0.9809375,-0.0591875
0.10981250000000001,0.9774,-0.0478875
0.09474444444444445,0.9836333333333334,-0.03822222222222223
0.0901125,0.988325,-0.03175
0.093475,0.986675,-0.030375
0.10214999999999999,0.9844875,-0.030512499999999998
0.10824285714285715,0.9821,-0.03338571428571429
0.11123333333333335,0.9878333333333332,-0.041822222222222226
0.1086875,0.9918375,-0.0441125
0.0994375,0.9867875,-0.0502
0.0983125,0.9862875,-0.0490625
0.087225,0.9917375,-0.0394375
0.077775,0.9903625,-0.04515
0.08486250000000001,0.9906375,-0.05375
0.0887,0.9886125,-0.0534
0.074225,0.9940875,-0.0478625
0.0864375,0.9825,-0.0389375
0.0992875,0.9742124999999999,-0.0375875
0.096325,0.9820875,-0.044275
0.0977875,0.987725,-0.04775
0.09885555555555554,0.9881777777777777,-0.0504
0.1008,0.9818375,-0.0478625
0.10781428571428572,0.9797571428571429,-0.05497142857142857
0.11664444444444445,0.9873444444444446,-0.06397777777777777
0.11635000000000001,0.985025,-0.0536625
0.090975,0.9782875,-0.0391
0.0691625,0.9805375,-0.035725
0.066025,0.9897375,-0.055275
0.0823125,0.9951625,-0.070625
0.09356249999999999,0.9829125,-0.0517875
0.0954125,0.97555,-0.0414375
0.09558749999999999,0.9835625,-0.0424
0.10112499999999999,0.9922375,-0.0534875
0.0977375,0.9870749999999999,-0.048799999999999996
0.09055,0.9756875,-0.036225
0.09223333333333333,0.9780333333333334,-0.03796666666666667
0.1010875,0.986375,-0.047525
0.09708,0.9892200000000001,-0.0479
0.08414,0.98597,-0.04224
0.07918888888888889,0.9827777777777779,-0.037955555555555555
0.079075,0.9822124999999999,-0.0398875
0.0808875,0.981875,-0.0438875
0.0785375,0.9827625,-0.047225
0.0792625,0.9836125,-0.0436625
0.0936,0.9856625,-0.04575
0.10036250000000001,0.9829875,-0.042875
0.0996875,0.9788749999999999,-0.046162499999999995
0.1000875,0.98255,-0.053587499999999996
0.1015125,0.9845875,-0.057374999999999995
0.10088749999999999,0.9865,-0.05035
0.1038875,0.9861375,-0.048625
0.1018,0.9818625,-0.0508
0.09405,0.9864125,-0.0557625
0.08634444444444445,0.9887333333333334,-0.04721111111111111
0.08365,0.981,-0.03895
0.0876125,0.979325,-0.042375
0.0848125,0.9907125,-0.05865
0.0919,0.989,-0.0665375
0.096275,0.9904999999999999,-0.0512125
0.1027375,0.977075,-0.0447125
0.09620000000000001,0.98365,-0.0466875
0.097575,0.991625,-0.0455625
0.099225,0.9935875,-0.042225
0.1020625,0.9894000000000001,-0.0469125
