gFx,gFy,gFz
-0.05005,0.98865,-0.07953
-0.012533333333333334,0.9486333333333333,-0.08476666666666666
0.07069,0.9262900000000001,-0.09785
0.21960000000000002,0.9845250000000001,-0.1376625
0.2583,1.063775,-0.100925
0.364325,1.0174,0.057749999999999996
0.1907875,1.016575,0.02755
0.0108,1.021875,0.05165
-0.0900625,1.0703875,0.0892125
-0.0748625,1.1005375,0.079875
0.0079875,1.0862625,0.0506625
0.08794444444444444,1.012722222222222,0.028077777777777774
0.0967625,0.9362,0.0330875
0.078375,0.9228,0.0159
0.08184285714285713,0.9568142857142857,-0.008114285714285715
0.0897,0.988225,-0.016300000000000002
0.11957777777777778,1.0057888888888888,-0.03222222222222222
0.13196249999999998,1.0378625000000001,-0.0861625
0.1481375,1.054975,-0.12156249999999999
0.2132125,1.04075,-0.10828750000000001
0.2487125,1.0250625,-0.08158750000000001
0.2366875,0.9818125,-0.0541375
0.1725,0.9324625,-0.006625
0.1095375,0.938725,0.0159375
0.06995,0.969975,-0.010025
0.0792875,0.96415,-0.0274625
0.11085,0.9008625,-0.034275
0.15311249999999998,0.853675,-0.03055
0.17350000000000002,0.8524111111111111,-0.012422222222222222
0.1815375,0.8742875,0.0028125
0.19386666666666666,0.9023666666666667,0.010700000000000001
0.18569,0.9328099999999999,0.00835
0.177225,0.95045,0.0109
0.1340125,1.0113875,0.0015875000000000004
0.1368875,1.0909,-0.0829
0.16837142857142856,1.136342857142857,-0.1451
0.1519,1.1626222222222222,-0.11402222222222222
0.1105375,1.230975,-0.08205
0.1493,1.343175,-0.15255
0.223475,1.404375,-0.2582875
0.236875,1.3695,-0.23149999999999998
0.1949125,1.2220875,-0.205425
0.1399375,1.0579,-0.2339125
0.07175,0.9429,-0.241425
0.033044444444444446,0.8248666666666666,-0.20105555555555554
0.061939999999999995,0.7538,-0.20518
0.13964545454545454,0.7270909090909091,-0.23234545454545455
0.1892375,0.7371625,-0.302225
0.19422499999999998,0.755675,-0.38792499999999996
0.1826875,0.81635,-0.4266875
0.17954285714285714,0.8739428571428572,-0.42128571428571426
0.20213333333333333,0.9096555555555556,-0.34207777777777776
0.1736125,0.9545,-0.263675
0.0412125,0.9611625,-0.2231
-0.0876875,0.9280375,-0.1679125
-0.0674,0.9033714285714286,-0.1844142857142857
0.03208888888888889,0.8942555555555555,-0.22048888888888887
0.08510000000000001,0.8722125000000001,-0.2044875
0.0872875,0.845875,-0.1720375
0.089325,0.8337125,-0.16951249999999998
0.11777142857142857,0.8235857142857144,-0.1688285714285714
0.10757000000000001,0.8106199999999999,-0.16007
0.0305375,0.8103625,-0.1521375
-0.0345125,0.8444125,-0.1527875
-0.048825,0.919675,-0.1919625
-0.01575,0.9810166666666666,-0.23688333333333333
0.01525,1.02534,-0.25271
0.036075,1.0834625,-0.254875
0.05215,1.1839875,-0.30643750000000003
-0.015050000000000001,1.2041375,-0.317375
-0.14535714285714288,1.1174285714285714,-0.24137142857142857
-0.1725888888888889,1.2151666666666665,-0.2267
0.005987499999999998,1.441225,-0.465775
0.3559875,1.4653625,-0.7688
