gFx,gFy,gFz
0.10852727272727272,0.9726818181818182,-0.2265090909090909
0.11195555555555556,0.9849555555555555,-0.21103333333333332
0.1044,0.9835,-0.17894285714285713
0.10445555555555555,0.9797666666666667,-0.1591888888888889
0.09670000000000001,0.9781428571428571,-0.1537285714285714
0.0985,0.9737625,-0.156025
0.1124625,0.9692125,-0.16875
0.11382,0.9667999999999999,-0.17068
0.11308333333333333,0.9635166666666666,-0.16858333333333334
0.1140125,0.96505,-0.16015000000000001
0.1178,0.9695625,-0.1604375
0.1224625,0.97315,-0.1642
0.12405,0.97445,-0.16999999999999998
0.1162375,0.971075,-0.17775
0.1112875,0.967575,-0.17955
0.1125,0.9635374999999999,-0.1716
0.1192375,0.9638125,-0.155775
0.134875,0.9641,-0.1456375
0.13952222222222221,0.962288888888889,-0.14608888888888888
0.1378,0.9601285714285714,-0.1369142857142857
0.14,0.962911111111111,-0.12447777777777778
0.1440875,0.97055,-0.1304875
0.14705,0.9799375,-0.1372125
0.1389375,0.9891125000000001,-0.1286
0.12997142857142857,0.9921142857142857,-0.11472857142857143
0.1259111111111111,0.9881666666666666,-0.10323333333333334
0.1295625,0.979375,-0.08938750000000001
0.1498625,0.9657875,-0.0803375
0.1724,0.955475,-0.0727625
0.1907625,0.956425,-0.057725
0.19675,0.96015,-0.03135
0.1862625,0.9675125,-0.0260625
0.1631625,0.9823375,-0.0325875
0.15488749999999998,0.998825,-0.0298375
0.1405875,1.0118875,-0.0231125
0.1436375,1.006275,-0.017725
0.151675,0.981075,-0.0251
0.1453888888888889,0.9509555555555556,-0.018933333333333333
0.150175,0.9344875,-0.01025
0.1716125,0.9365875,-0.01145
0.192125,0.946125,-0.0240125
0.1946375,0.9573375,-0.04345
0.15845,0.9701166666666667,-0.037866666666666667
0.09973000000000001,0.98938,-0.034699999999999995
0.08455,1.0040875,-0.0697125
0.1327875,1.003225,-0.0934125
0.1808875,0.9911625,-0.0719125
0.2032,0.975525,-0.0268875
0.201925,0.9680124999999999,-0.0157375
0.19,0.9800875,-0.0541875
0.1636125,0.982475,-0.106225
0.1187125,0.9746875,-0.13671250000000001
0.08298888888888889,0.9735888888888888,-0.1302222222222222
0.0917125,0.9819,-0.10137499999999999
0.1047125,0.9853000000000001,-0.097425
0.119125,0.9884375,-0.099275
0.1259142857142857,0.9790714285714286,-0.11078571428571428
0.1175888888888889,0.9728222222222223,-0.1204111111111111
0.1030125,0.9668875,-0.1165
0.0843375,0.966075,-0.1153
0.079475,0.972175,-0.111525
0.08687500000000001,0.9766625,-0.107825
0.0920375,0.9755625,-0.103375
0.09075,0.9762500000000001,-0.1038875
0.08715,0.97755,-0.11715
0.08611250000000001,0.9776125,-0.13774999999999998
0.086475,0.9702500000000001,-0.1436625
0.08871666666666667,0.973,-0.14170000000000002
0.08381000000000001,0.9773,-0.13676
0.0712,0.979075,-0.1349
