Person,gFx,gFy,gFz,Label
3,0.0647875,0.7614,-0.0945749999999999,3
3,0.08975,0.893625,-0.1762375,3
3,0.0246625,0.9356125,-0.1995375,3
3,-0.07825,0.94455,-0.212675,3
3,-0.1547125,0.9948875,-0.223025,3
3,-0.14055,1.0357875,-0.221325,3
3,-0.0129142857142857,0.9113714285714286,-0.2646142857142857,3
3,0.1263444444444444,0.9476666666666668,-0.1595222222222222,3
3,0.0745,1.07435,-0.0813625,3
3,-0.0430777777777777,1.115911111111111,-0.0412,3
3,-0.0743625,1.0515625,-0.038575,3
3,-0.1103142857142857,1.0004857142857142,-0.0360714285714285,3
3,-0.1547666666666666,0.9806222222222222,-0.0852,3
3,-0.1435625,0.9719125,-0.1223125,3
3,-0.105975,0.947525,-0.106975,3
3,-0.0684375,0.9144875,-0.0675,3
3,-0.07178,0.91274,-0.04152,3
3,-0.1392090909090909,0.9057545454545456,-0.0152272727272727,3
3,-0.1807875,0.8700625,-0.0183875,3
3,-0.129775,0.8934375,-0.03525,3
3,-0.0978499999999999,0.948975,-0.0258375,3
3,-0.1023333333333333,0.9599833333333332,-0.0057,3
3,-0.09536,0.93806,-0.0065,3
3,-0.056,0.950575,-0.0542249999999999,3
3,-0.0109874999999999,0.97055,-0.0720625,3
3,-0.0084,0.9456888888888888,-0.0759333333333333,3
3,-0.0239375,0.891575,-0.1138625,3
3,-0.0159875,0.784125,-0.1413125,3
3,-0.0002125,0.672525,-0.1372625,3
3,0.0633875,0.5064375,-0.123825,3
3,0.1151875,0.3639375,-0.08775,3
3,0.081825,0.4396125,-0.0750375,3
3,-0.0355625,0.6346875,-0.118,3
3,-0.1719125,0.7957375,-0.108375,3
3,-0.2566,0.765375,-0.0651625,3
3,-0.158125,0.6413,-0.0118125,3
3,0.1435142857142857,0.7973857142857143,-0.0534285714285714,3
3,0.3288555555555555,1.2906555555555554,-0.2024111111111111,3
3,0.5366125,1.6711,-0.385925,3
3,0.7123999999999999,2.2155,-0.426375,3
3,0.8957166666666666,2.764,-0.7669,3
3,-0.0102999999999999,1.81351,-0.27662,3
3,-0.7810333333333334,1.1725222222222222,0.1478,3
3,-0.967675,0.86345,0.0523875,3
3,-0.494375,0.7895875,-0.0352375,3
3,0.1250125,0.7447125,0.004975,3
3,0.3536125,0.6715875,0.047425,3
3,0.2154375,0.7409375,0.0120375,3
3,0.1212874999999999,0.8519125,-0.155325,3
3,0.1756625,0.9468875,-0.24825,3
3,0.2754125,1.063525,-0.31945,3
3,0.3494571428571428,1.127142857142857,-0.3420857142857142,3
3,0.2754222222222222,1.0511444444444444,-0.2473777777777777,3
3,0.0499374999999999,0.96555,-0.0933375,3
3,-0.1015125,0.96905,-0.045625,3
3,-0.190875,1.0054125,-0.0749625,3
3,-0.2401625,1.0015375,-0.0823375,3
3,-0.182875,0.997325,-0.136425,3
3,-0.04315,0.996775,-0.179575,3
3,0.1133888888888888,0.9645444444444444,-0.1886111111111111,3
3,0.16555,0.9290375,-0.17135,3
3,0.1261,0.9411571428571428,-0.1370285714285714,3
3,0.0609,0.969122222222222,-0.1193666666666666,3
3,0.0284125,0.9774625,-0.1054875,3
3,0.03595,0.9644125,-0.0877875,3
3,0.0440875,0.95555,-0.0498875,3
3,0.0284833333333333,0.9326166666666666,-0.0232,3
3,0.0191625,0.91165,-0.021775,3
3,-0.00672,0.90791,-0.0469,3
3,-0.013,0.9484875,-0.0873874999999999,3
3,0.009125,1.0089,-0.1263874999999999,3
3,0.0055625,1.0061125,-0.0954125,3
3,-0.0262125,0.948075,-0.0329625,3
3,-0.044525,0.9257875,-0.0136,3
3,-0.0576625,0.9386625,-0.032625,3
3,-0.0234375,0.9773875,-0.0911625,3
3,0.0573222222222222,0.9552222222222222,-0.1285777777777778,3
3,0.0512625,0.886525,-0.0823875,3
3,-0.0089249999999999,0.843625,-0.047125,3
3,0.0016125,0.809425,-0.047375,3
3,0.0776625,0.7989625,-0.068775,3
3,0.1003375,0.79005,-0.039125,3
3,0.0581125,0.7759,-0.0422125,3
3,0.00725,0.7661,-0.0436875,3
3,0.0068124999999999,0.75305,-0.0443125,3
3,0.0465125,0.814575,-0.0555375,3
3,0.0500285714285714,0.8550714285714286,-0.0385857142857142,3
3,0.0040444444444444,0.8682111111111112,0.0346888888888888,3
3,-0.06075,0.9118625,0.0633249999999999,3
3,-0.12465,0.910825,0.10505,3
3,-0.1805375,0.912325,0.0763875,3
3,-0.1103875,1.0394625,-0.116675,3
3,0.051125,1.3039375,-0.345175,3
3,0.2345888888888888,1.4336666666666666,-0.4839111111111111,3
3,0.1059625,1.4486625,-0.3159625,3
3,-0.27015,1.8565375,-0.3149875,3
3,-0.37948,1.7179600000000002,-0.54714,3
3,-0.2174272727272727,1.179181818181818,-0.2746272727272727,3
3,0.109425,0.9057,0.150375,3
3,0.133025,0.8086,0.248075,3
3,0.0365,0.81215,0.229225,3
3,-0.0360833333333333,0.86275,0.0770666666666666,3
3,-0.07288,0.8859999999999999,-0.2124499999999999,3
3,-0.0932,0.9359875,-0.3415125,3
3,-0.0491375,0.936875,-0.32335,3
