Person,gFx,gFy,gFz,Label
2,0.0865249999999999,0.7457625,-0.0460125,3
2,0.0877625,0.8795999999999999,-0.0268375,3
2,-0.01928,1.01918,-0.0078,3
2,-0.0885916666666666,1.1017249999999998,-0.0246666666666666,3
2,-0.093925,1.058,-0.0398,3
2,-0.0584125,0.9801875,-0.04185,3
2,-0.0822625,0.9277375,-0.025925,3
2,-0.065675,0.90845,-0.000325,3
2,0.07285,0.898975,0.0178875,3
2,0.106,0.83255,0.0231,3
2,0.120675,0.7354,-0.0087625,3
2,0.1758875,0.673825,-0.0068249999999999,3
2,0.10676,0.66496,0.04118,3
2,0.0077727272727272,0.7688909090909092,-0.0006272727272727,3
2,0.0327375,1.0244625,-0.077675,3
2,0.273025,1.1809,-0.218875,3
2,0.409925,1.1749,-0.218475,3
2,0.3500875,1.0558375,-0.1919625,3
2,0.1877625,0.9386875,-0.2224875,3
2,0.0810375,1.02785,-0.2492625,3
2,0.2293625,1.3562,-0.2424875,3
2,0.3466,1.7702875,-0.0963,3
2,0.4176166666666667,1.7361833333333332,-0.0007666666666666,3
2,0.2483090909090909,1.287909090909091,0.0326909090909091,3
2,-0.1752625,0.99245,0.0189125,3
2,-0.313475,1.0036375,-0.09865,3
2,-0.147825,1.070325,-0.1428875,3
2,0.0701374999999999,1.0446375,-0.0708875,3
2,0.1682375,0.904275,-0.0480125,3
2,0.135525,0.8147875,-0.0364375,3
2,0.058525,0.8056375,-0.048325,3
2,0.0362875,0.84765,-0.056,3
2,0.0888,0.8857999999999999,-0.0447428571428571,3
2,0.1469888888888889,0.9153888888888888,-0.0110777777777777,3
2,0.208525,0.9388,-0.0150875,3
2,0.2201624999999999,0.9740625,-0.0577375,3
2,0.1031624999999999,0.951975,-0.0144,3
2,0.004225,0.875325,0.0322,3
2,-0.0043888888888888,0.8038222222222222,0.0047555555555555,3
2,0.0214125,0.8093875,0.0197374999999999,3
2,0.0672875,0.8315125,0.0699875,3
2,0.0538125,0.862775,0.0935875,3
2,-0.0064428571428571,0.8593285714285714,0.0783714285714285,3
2,-0.0815222222222222,0.8079444444444444,0.0573999999999999,3
2,-0.1073375,0.8334875,0.0354625,3
2,0.0065249999999999,0.9569875,-0.0054625,3
2,0.1448375,1.0099625,-0.014775,3
2,0.1626666666666666,0.9833333333333334,0.0251333333333333,3
2,0.06067,0.93426,0.0982099999999999,3
2,-0.0361,0.8704000000000001,0.0947,3
2,-0.0267125,0.8083375,0.0306999999999999,3
2,-0.0332875,0.810525,0.032475,3
2,-0.1061857142857143,0.9818714285714286,0.0204,3
2,-0.04487,1.21882,-0.0510599999999999,3
2,0.0396428571428571,1.3016571428571428,-0.0923714285714285,3
2,0.0934333333333333,1.2918666666666665,-0.2488111111111111,3
2,0.2171124999999999,1.1431,-0.213775,3
2,0.18205,1.0955666666666668,-0.1307833333333333,3
2,0.08818,1.10668,-0.06482,3
2,-0.0837875,1.1006625,0.0091625,3
2,-0.06195,1.2934375,-0.1116625,3
2,0.1041375,1.4554625,-0.3487625,3
2,0.1185857142857143,1.3024,-0.2946285714285714,3
2,0.1288888888888889,0.9738333333333332,-0.0377666666666666,3
2,0.1561625,0.8475,0.095725,3
2,0.069125,0.9137875,0.1330125,3
2,-0.1172624999999999,0.9771875,0.058175,3
2,-0.1944571428571428,1.0090285714285714,-0.0796285714285714,3
2,-0.0896333333333333,0.9808555555555556,-0.1863,3
2,0.0295,0.915775,-0.189525,3
2,0.1386,0.8800125,-0.0835625,3
2,0.1651333333333333,0.9065222222222222,-0.0319,3
