Person,gFx,gFy,gFz,Label
1,0.1299,0.8599714285714286,0.0336142857142857,3
1,0.128825,0.8560125,-0.00795,3
1,0.1124666666666666,0.9025666666666664,-0.0502333333333333,3
1,0.1038,0.961975,-0.0931625,3
1,0.1056875,0.98545,-0.1104,3
1,0.112275,0.988975,-0.1058375,3
1,0.1222875,1.025025,-0.0910625,3
1,0.1447625,1.0836,-0.0998875,3
1,0.174425,1.0939375,-0.105625,3
1,0.195175,1.0301,-0.088875,3
1,0.210375,0.97475,-0.039775,3
1,0.221875,0.9486,-0.0001874999999999,3
1,0.21945,0.9566125,0.015325,3
1,0.2137,0.967075,-0.0069,3
1,0.1875444444444444,0.9608666666666666,-0.0301444444444444,3
1,0.1490375,0.94385,-0.0542875,3
1,0.1082125,0.9402875,-0.0613374999999999,3
1,0.0622714285714285,0.9577571428571428,-0.0406571428571428,3
1,0.0181222222222222,0.9551333333333332,-0.0424333333333333,3
1,-0.015875,0.9489,-0.05015,3
1,-0.0265875,0.95255,-0.0285125,3
1,0.0028875,0.9646875,-0.0164625,3
1,0.0451499999999999,0.9640875,-0.016575,3
1,0.0842571428571428,0.9585857142857144,-0.0050857142857142,3
1,0.1122555555555555,0.9544111111111112,0.0055111111111111,3
1,0.113525,0.946475,-0.009125,3
1,0.1000375,0.9298,-0.02505,3
1,0.0717,0.9089625,-0.043775,3
1,0.0717875,0.89415,-0.0331375,3
1,0.0821625,0.870825,-0.0371625,3
1,0.0918124999999999,0.8257,-0.0240625,3
1,0.0853375,0.8182625,-0.0184375,3
1,0.06495,0.883325,0.0367125,3
1,0.0445714285714285,0.9531571428571428,0.0554,3
1,0.0088899999999999,0.96769,0.01666,3
1,-0.0231285714285714,0.9456142857142856,0.0169857142857142,3
1,-0.0293222222222222,0.9434888888888888,0.0557777777777777,3
1,-0.0185125,0.9002749999999999,0.06885,3
1,0.0094142857142857,0.7833857142857142,0.0293428571428571,3
1,0.0698111111111111,0.6867777777777778,-0.0167,3
1,0.1749375,0.7606625,0.013275,3
1,0.3193875,0.912575,0.0280125,3
1,0.4419,1.0976125,0.061425,3
1,0.4744857142857143,1.2359285714285717,0.0846428571428571,3
1,0.3587222222222222,1.268,0.0297555555555555,3
1,0.2183,1.2294875,-0.0711625,3
1,0.16695,1.17995,-0.0596499999999999,3
1,0.1866249999999999,1.0851375,-0.042525,3
1,0.26965,1.065375,0.0004999999999999,3
1,0.3715333333333333,1.1002666666666667,0.0802333333333333,3
1,0.437425,1.1372375,0.1452125,3
1,0.4009125,1.1186125,0.154825,3
1,0.297875,1.0710625,0.04345,3
1,0.1958666666666666,1.0375333333333334,-0.0406333333333333,3
1,0.13712,1.03824,-0.05522,3
1,0.1462625,1.06815,0.0232125,3
1,0.1520875,1.06255,0.1146625,3
1,0.1542,1.0362375,0.08245,3
1,0.1526,1.0096375,0.0153,3
1,0.151675,0.97485,-0.017425,3
1,0.1954,0.943025,-0.0113875,3
1,0.2532875,0.9097375,0.03015,3
1,0.2991125,0.889025,0.0728999999999999,3
1,0.3183,0.8980125,0.09145,3
1,0.3034,0.9227125,0.0744124999999999,3
1,0.2529,0.9362,0.03785,3
1,0.1976444444444444,0.9496333333333332,0.0066222222222222,3
1,0.1773375,0.957725,-0.00885,3
1,0.17846,0.9482,-0.00802,3
1,0.1987999999999999,0.9359,-0.0110545454545454,3
1,0.2531125,0.958625,-0.004875,3
1,0.287325,0.9784875,0.0260125,3
1,0.2847125,0.9593875,0.0540875,3
1,0.2996571428571428,0.9119857142857144,0.0712714285714285,3
1,0.2488,0.9087777777777778,0.0690333333333333,3
1,0.1893125,0.9351375,0.0800874999999999,3
1,0.1433625,0.955375,0.0893375,3
1,0.1248625,0.9482375,0.0754375,3
1,0.1259,0.9507375,0.05885,3
1,0.155425,0.9460875,0.04205,3
1,0.1950875,0.930375,0.0455,3
1,0.2166625,0.911325,0.0647125,3
1,0.2081428571428571,0.9040142857142858,0.0846142857142857,3
1,0.1799777777777777,0.8898111111111111,0.0958555555555555,3
1,0.1458222222222222,0.8732,0.0932888888888889,3
1,0.1260875,0.858325,0.0789875,3
1,0.1256571428571428,0.8414857142857143,0.0641571428571428,3
1,0.135325,0.8296250000000001,0.062,3
