Person,gFx,gFy,gFz,Label
1,-0.564425,0.237575,0.786675,6
1,-0.5621571428571429,0.2361857142857142,0.7894714285714286,6
1,-0.5588111111111111,0.2342333333333333,0.7932666666666667,6
1,-0.5613375,0.2336125,0.79585,6
1,-0.5616749999999999,0.2358375,0.79265,6
1,-0.55705,0.23995,0.7836125,6
1,-0.5518285714285714,0.2385571428571428,0.7798142857142858,6
1,-0.5515333333333333,0.2356444444444444,0.7856222222222222,6
1,-0.5439777777777777,0.2296111111111111,0.7903333333333333,6
1,-0.5527375,0.23585,0.7875375,6
1,-0.581075,0.23465,0.790625,6
1,-0.5678375,0.23165,0.7938125,6
1,-0.5608625,0.2318625,0.7891,6
1,-0.560325,0.23445,0.7862875,6
1,-0.5585875,0.2355625,0.7856624999999999,6
1,-0.55885,0.2334375,0.7877375,6
1,-0.5610142857142857,0.2291428571428571,0.7882571428571429,6
1,-0.5606333333333333,0.2320999999999999,0.7863666666666667,6
1,-0.5603750000000001,0.234075,0.7862125,6
1,-0.5611875,0.2334999999999999,0.7888999999999999,6
1,-0.561325,0.2327749999999999,0.7901625,6
1,-0.5602571428571429,0.2338285714285714,0.7913857142857142,6
1,-0.5596777777777777,0.2342444444444444,0.7925888888888889,6
1,-0.558725,0.2329999999999999,0.7906124999999999,6
1,-0.5600125,0.2315,0.786725,6
1,-0.5611125,0.22905,0.7878000000000001,6
1,-0.5656333333333333,0.2281333333333333,0.7891,6
1,-0.56375,0.231625,0.7875875,6
1,-0.557875,0.234975,0.7846875,6
1,-0.555875,0.2346125,0.7873875,6
1,-0.55545,0.233325,0.790675,6
1,-0.5540875,0.231825,0.791675,6
1,-0.5562125,0.2302875,0.7917875,6
1,-0.559875,0.230325,0.792625,6
1,-0.5596888888888889,0.2347888888888889,0.7883555555555556,6
1,-0.5599714285714286,0.2364,0.7790571428571429,6
1,-0.5634875,0.2328375,0.779325,6
1,-0.5689888888888889,0.2315777777777777,0.7860444444444444,6
1,-0.569675,0.2321625,0.785725,6
1,-0.5634625,0.2324999999999999,0.786125,6
1,-0.56105,0.2299125,0.792125,6
1,-0.5624857142857143,0.2316714285714285,0.7917285714285713,6
1,-0.5629333333333333,0.2335,0.7873666666666667,6
1,-0.5614375,0.2360875,0.7830875,6
