Person,gFx,gFy,gFz,Label
1,0.5465555555555555,1.0319888888888888,-0.0987777777777777,2
1,0.52595,1.04195,-0.1556875,2
1,0.5102125,1.0428625,-0.2019625,2
1,0.49495,1.0416375,-0.2255375,2
1,0.4843125,1.0395875,-0.2422125,2
1,0.4539875,1.00035,-0.2816125,2
1,0.424875,0.9116,-0.335075,2
1,0.415475,0.844725,-0.35925,2
1,0.4334125,0.82885,-0.336275,2
1,0.449275,0.8501875,-0.2897125,2
1,0.450725,0.8631625,-0.270325,2
1,0.4236375,0.8622875,-0.3002625,2
1,0.3771,0.8678625,-0.3368375,2
1,0.3270444444444444,0.8641888888888889,-0.3423222222222222,2
1,0.2727857142857143,0.8387714285714285,-0.3208714285714286,2
1,0.2233333333333333,0.7933888888888889,-0.2866333333333333,2
1,0.1706875,0.742875,-0.2741,2
1,0.1451,0.7152875,-0.2544875,2
1,0.1371875,0.7182375,-0.2366875,2
1,0.1598375,0.7169375,-0.22175,2
1,0.1994625,0.7287375,-0.2299749999999999,2
1,0.2259875,0.7841375,-0.2618,2
1,0.2364375,0.8560375,-0.286925,2
1,0.2266875,0.911675,-0.29285,2
1,0.2069428571428571,0.9342285714285714,-0.2853428571428571,2
1,0.1646777777777777,0.9491888888888887,-0.2652444444444444,2
1,0.1208,0.9473375,-0.239225,2
1,0.08595,0.9267375,-0.2322125,2
1,0.068225,0.91355,-0.231175,2
1,0.0843142857142857,0.9061714285714284,-0.2387142857142857,2
1,0.1226199999999999,0.8969900000000001,-0.23748,2
1,0.1442,0.9105125,-0.2439,2
1,0.1516,0.9403875,-0.2424,2
1,0.156325,0.9464625,-0.2469625,2
1,0.1423857142857142,0.9456428571428572,-0.2563,2
1,0.1249444444444444,0.9691777777777778,-0.2572666666666666,2
1,0.108525,0.9805375,-0.2481749999999999,2
1,0.08885,0.9548375,-0.2427875,2
1,0.0750375,0.9497625,-0.21225,2
1,0.0675428571428571,0.9755142857142856,-0.2021142857142857,2
1,0.0941333333333333,0.9995444444444446,-0.2335444444444444,2
1,0.172125,0.979575,-0.3058,2
1,0.21135,1.0396875,-0.3731125,2
1,0.1690375,1.0853875,-0.3025,2
1,0.2653,1.1076857142857144,-0.2236571428571428,2
1,0.2512111111111111,1.158311111111111,-0.2333444444444444,2
1,0.2196375,1.14305,-0.30635,2
1,0.1366666666666666,1.1092888888888888,-0.4478333333333333,2
1,0.1415875,1.0803875,-0.4481,2
1,0.1909428571428571,1.0568428571428572,-0.3553428571428571,2
1,0.2675222222222222,1.0019222222222224,-0.2771777777777778,2
1,0.294,0.9386875,-0.264825,2
1,0.3537,0.875475,-0.2945,2
1,0.3565,0.862075,-0.3190375,2
1,0.3504875,0.8689625,-0.32955,2
1,0.3555625,0.8795375,-0.3405,2
1,0.385225,0.8776875,-0.3268375,2
1,0.4297125,0.8643000000000001,-0.3052375,2
1,0.4761375,0.8527625,-0.2794375,2
1,0.5172857142857142,0.8421428571428571,-0.2560857142857143,2
1,0.5190777777777777,0.8282444444444444,-0.2238222222222222,2
1,0.463275,0.8133,-0.2024125,2
1,0.385525,0.7958125,-0.21755,2
1,0.325625,0.765975,-0.24495,2
1,0.29485,0.7632625,-0.25455,2
1,0.2939444444444444,0.7977888888888889,-0.2222444444444444,2
1,0.31195,0.8257125,-0.1777875,2
1,0.341775,0.8198875,-0.1536124999999999,2
1,0.3724125,0.7901625,-0.1506875,2
1,0.3962,0.7730142857142858,-0.1591714285714285,2
1,0.3937,0.7834333333333334,-0.1518111111111111,2
1,0.3430875,0.8484125,-0.1357125,2
1,0.347175,0.8831125,-0.1250875,2
1,0.420375,0.802025,-0.18205,2
1,0.3594571428571428,0.8484428571428572,-0.1774142857142857,2
1,0.301,0.9484888888888888,-0.1078666666666666,2
1,0.3266875,0.953225,-0.08495,2
1,0.3288,0.9352,-0.1160375,2
1,0.3002,0.9205625,-0.10505,2
1,0.2917428571428572,0.9065428571428572,-0.0701714285714285,2
1,0.29901,0.8847200000000001,-0.03877,2
1,0.3122857142857143,0.8723,-0.0135428571428571,2
1,0.3183888888888889,0.8615888888888888,0.0030444444444444,2
1,0.3223428571428571,0.8474714285714285,-0.0007571428571428,2
1,0.3289125,0.8420875,-0.0269625,2
1,0.3466888888888889,0.8500111111111112,-0.0509666666666666,2
1,0.3567875,0.8704375,-0.048125,2
1,0.3759375,0.9038375,-0.034425,2
1,0.352,0.9500375,-0.0213,2
1,0.30865,0.9769125,-0.014925,2
1,0.3288125,0.8853624999999999,-0.0901625,2
1,0.321425,0.9051125,-0.1378875,2
1,0.4017,1.1057875,-0.1787875,2
1,0.41045,1.2215875,-0.1462375,2
1,0.3904625,1.1565125,-0.269125,2
1,0.4376875,1.08545,-0.318475,2
1,0.555875,1.1168375,-0.191875,2
1,0.659775,1.1267375,-0.0845125,2
1,0.6523749999999999,1.072875,-0.1458249999999999,2
1,0.582288888888889,1.0201444444444443,-0.2259111111111111,2
1,0.4814857142857143,0.9466285714285716,-0.2533571428571428,2
1,0.4183714285714285,0.8644285714285714,-0.2729428571428571,2
1,0.3883999999999999,0.78013,-0.2995899999999999,2
1,0.415575,0.7423375,-0.323125,2
1,0.4652571428571428,0.7659,-0.3295571428571429,2
1,0.4989888888888888,0.8117777777777778,-0.3276666666666667,2
1,0.4920875,0.8325,-0.3316125,2
1,0.4528875,0.83155,-0.351675,2
1,0.4013,0.8260125,-0.358075,2
1,0.3368,0.8215875,-0.338575,2
1,0.2786625,0.80875,-0.3152875,2
1,0.2386875,0.784475,-0.28825,2
1,0.2044,0.7777375,-0.28375,2
1,0.1762125,0.7923125,-0.2672375,2
1,0.1619125,0.7964125,-0.2372625,2
1,0.1604125,0.8042375,-0.2216375,2
1,0.1743222222222222,0.8326111111111111,-0.2307888888888889,2
1,0.1893571428571428,0.8613857142857143,-0.25,2
1,0.1989999999999999,0.8874,-0.2731222222222222,2
1,0.2120625,0.887125,-0.2899125,2
1,0.207375,0.88425,-0.28615,2
1,0.1933125,0.889325,-0.2620125,2
1,0.168325,0.9013375,-0.229925,2
1,0.1468625,0.919675,-0.221525,2
